azimuth,md (ft),tvd (ft),footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,production,tc_number,op_number,date_sec
-52.349998,11304,6589.0,4390.0,1173.7072,19.31,15,6667,32769.21,1.16,0.06,0.3,,4.97,0.44,12645.83,6761.8,28.31,5188.0,,96,21,,1.35,2790.282309,3,1,1491004800
-40.669998,11816,6936.0,4630.0,3062.8435,9.37,20,10228,35258.45,0.99,0.04,0.34,0.51,3.81,1.56,12622.5,6581.19,29.95,4860.0,5942.0,78,23,4160750.0,0.73,1213.243506,5,16,1454284800
-25.700001,13779,8487.0,5052.0,,12.24,2,2791,34538.91,1.3,0.09,0.21,,2.88,0.45,11969.87,6822.7,28.03,5271.0,,81,27,9445394.0,1.29,4185.294342,7,6,1404172800
-13.22,11845,6538.0,4935.0,926.94214,190.95,2,530,30847.96,0.78,0.06,0.26,0.77,5.16,0.45,13061.34,6774.88,27.22,4374.0,6668.0,80,25,8834125.0,0.95,1999.76295,1,17,1535760000
-39.77,16773,7024.0,8725.0,665.36377,24.95,7,5825,31925.1,0.46,0.02,0.33,0.8,4.69,0.59,13229.9,7035.71,31.14,5062.0,,93,38,8670911.0,0.99,1959.2389460000002,5,18,1425168000
-41.130001,18644,7949.0,10445.0,3714.8999,83.05,3,4386,33220.79,0.23,0.04,0.34,,4.38,0.66,13292.28,6827.72,30.54,5471.0,,99,53,23217020.0,1.43,4360.228367000001,12,4,1533081600
-29.66,13722,7867.0,5559.0,,8.74,8,1235,35185.98,0.18,0.03,0.33,,4.82,0.84,12864.27,7008.96,31.34,5938.0,,89,39,9530856.0,0.84,1855.806584,4,4,1443657600
-59.740002000000004,12646,5897.0,6317.0,3535.9065,7.15,3,2969,34228.79,0.56,0.01,0.33,,4.76,0.41,13455.52,6921.39,30.79,3995.0,4364.0,79,22,7561729.0,0.92,719.9502924999999,12,19,1388534400
-30.219998999999998,14390,8012.0,6050.0,2023.3851,4.56,11,6588,34112.47,1.0,0.06,0.29,,6.08,0.42,11723.42,7030.38,31.58,5964.0,,80,16,5624710.0,1.23,1389.36745,1,20,1293840000
-80.550003,11065,6732.0,4053.0,900.47876,19.74,13,6284,35188.37,0.79,,0.32,,4.73,0.48,12703.22,7485.87,32.72,3951.0,,97,13,,1.37,681.9005685,5,3,1372636800
-45.759997999999996,13014,8048.0,4581.0,4908.3149,23.2,5,3745,34899.94,0.99,0.06,0.3,0.79,6.43,0.36,12322.49,7021.94,31.62,,,93,19,8046568.0,1.55,792.3838722,1,20,1309478400
-27.120001000000002,11315,6783.0,4064.0,,12.36,10,0,35230.46,0.5,0.02,0.34,,4.02,0.51,12738.09,6708.98,30.23,4829.0,6851.0,82,15,5885261.0,1.08,344.0395618,8,4,1375315200
-15.51,14458,7619.0,6759.0,4981.7529,12.96,5,4029,33437.86,0.92,,0.23,0.82,4.36,0.72,11627.02,6782.17,26.97,6105.0,9215.0,79,10,8512240.0,1.35,2944.1302140000003,11,6,1388534400
